date_utc,reCAPTCHA V3 token是否有效,reCAPTCHA V3风险分
2026-08-09,607,617
2026-08-10,582,596
2026-08-11,671,631
2026-08-12,693,674
2026-08-13,660,682
2026-08-14,621,600
2026-08-15,665,645
2026-08-16,573,541
2026-08-17,511,546
2026-08-18,664,648
2026-08-19,507,756
2026-08-20,1128,124
2026-08-21,1205,0
2026-08-22,1296,0
2026-08-23,1201,0
2026-08-24,1030,0
2026-08-25,1169,0
2026-08-26,1142,0
2026-08-27,93,823
2026-08-28,0,1182
2026-08-29,0,1222
2026-08-30,0,1223
2026-08-31,0,1264
2026-09-01,0,1226
2026-09-02,0,1392
2026-09-03,0,1889
2026-09-04,0,3381
2026-09-05,0,6915
2026-09-06,3000,4901
2026-09-07,5110,1968
2026-09-08,7653,0
2026-09-09,7641,0
2026-09-10,2019,0
