date_utc,行数,score缺失,无token,score缺失率%,无token率%
2026-08-09,1224,178,178,14.5,14.5
2026-08-10,1181,206,203,17.4,17.2
2026-08-11,1313,213,207,16.2,15.8
2026-08-12,1367,226,225,16.5,16.5
2026-08-13,1344,206,205,15.3,15.3
2026-08-14,1223,169,168,13.8,13.7
2026-08-15,1310,176,176,13.4,13.4
2026-08-16,1114,147,147,13.2,13.2
2026-08-17,1110,213,213,19.2,19.2
2026-08-18,1401,313,310,22.3,22.1
2026-08-19,1325,241,241,18.2,18.2
2026-08-20,1315,341,341,25.9,25.9
2026-08-21,1291,239,239,18.5,18.5
2026-08-22,1362,223,223,16.4,16.4
2026-08-23,1282,202,202,15.8,15.8
2026-08-24,1089,182,181,16.7,16.6
2026-08-25,1228,208,196,16.9,16.0
2026-08-26,1216,219,217,18.0,17.8
2026-08-27,1002,194,191,19.4,19.1
2026-08-28,1261,164,160,13.0,12.7
2026-08-29,1298,162,162,12.5,12.5
2026-08-30,1291,142,142,11.0,11.0
2026-08-31,1334,177,160,13.3,12.0
2026-09-01,1295,175,170,13.5,13.1
2026-09-02,1457,172,172,11.8,11.8
2026-09-03,1975,310,289,15.7,14.6
2026-09-04,3440,461,461,13.4,13.4
2026-09-05,6991,843,843,12.1,12.1
2026-09-06,8079,1172,1086,14.5,13.4
2026-09-07,7153,908,898,12.7,12.6
2026-09-08,7736,1143,1136,14.8,14.7
2026-09-09,7738,1290,1276,16.7,16.5
2026-09-10,2019,404,404,20.0,20.0
