小时,场景调用量,策略命中量,命中率%,REJECT,REVIEW
09-09 16:00 UTC,133.0,13.0,9.8,37.0,0.0
09-09 17:00 UTC,311.0,40.0,12.9,90.0,0.0
09-09 18:00 UTC,174.0,13.0,7.5,27.0,1.0
09-09 19:00 UTC,177.0,19.0,10.7,25.0,0.0
09-09 20:00 UTC,136.0,22.0,16.2,28.0,0.0
09-09 21:00 UTC,141.0,14.0,9.9,21.0,0.0
09-09 22:00 UTC,154.0,11.0,7.1,24.0,0.0
09-09 23:00 UTC,280.0,105.0,37.5,175.0,0.0
09-10 00:00 UTC,319.0,74.0,23.2,157.0,0.0
09-10 01:00 UTC,280.0,60.0,21.4,146.0,0.0
09-10 02:00 UTC,283.0,40.0,14.1,107.0,0.0
09-10 03:00 UTC,322.0,86.0,26.7,193.0,0.0
09-10 04:00 UTC,323.0,78.0,24.1,208.0,0.0
09-10 05:00 UTC,320.0,68.0,21.2,198.0,0.0
09-10 06:00 UTC,172.0,46.0,26.7,100.0,0.0
