维度,取值,漏召回条数,占漏召回%
IP国家组,非美国,2132,75.2
IP国家组,美国,704,24.8
IP国家,巴基斯坦,908,32.0
IP国家,美国,704,24.8
IP国家,德国,318,11.2
IP国家,新加坡,182,6.4
IP国家,罗马尼亚,115,4.1
IP国家,法国,103,3.6
IP国家,英国,100,3.5
IP国家,意大利,37,1.3
token桶,<=0.3,1491,52.6
token桶,>0.3,734,25.9
token桶,空置,611,21.5
cid,105,2744,96.8
cid,106,59,2.1
cid,702,23,0.8
cid,108,10,0.4
版本,1.4.42,2224,78.4
版本,1.3.40,258,9.1
版本,1.3.50,170,6.0
版本,1.4.40,73,2.6
版本,1.4.36,61,2.2
版本,1.5.0,23,0.8
版本,1.4.26,11,0.4
版本,1.4.35,11,0.4
目的区号,233,287,10.1
目的区号,220,279,9.8
目的区号,992,269,9.5
目的区号,223,250,8.8
目的区号,264,238,8.4
目的区号,213,212,7.5
目的区号,92,210,7.4
目的区号,375,210,7.4
