日期,+1发送,其他区号发送,+1填充率%,其他区号填充率%
2026-08-09,1039,38,96.0,47.4
2026-08-10,979,36,96.2,30.6
2026-08-11,1145,38,95.5,60.5
2026-08-12,1165,48,93.0,39.6
2026-08-13,1110,55,96.1,34.5
2026-08-14,1082,49,94.3,40.8
2026-08-15,1120,55,96.3,36.4
2026-08-16,953,62,96.7,38.7
2026-08-17,874,70,97.0,27.1
2026-08-18,1139,47,96.0,42.6
2026-08-19,1154,76,96.8,21.1
2026-08-20,924,67,95.1,16.4
2026-08-21,1000,75,96.1,30.7
2026-08-22,1051,74,97.1,28.4
2026-08-23,1002,73,95.9,9.6
2026-08-24,873,59,96.7,23.7
2026-08-25,980,46,95.8,47.8
2026-08-26,886,60,95.3,13.3
2026-08-27,763,30,96.9,26.7
2026-08-28,991,72,96.2,29.2
2026-08-29,1076,52,96.2,44.2
2026-08-30,1014,74,95.9,16.2
2026-08-31,980,66,97.9,12.1
2026-09-01,963,80,94.0,32.5
2026-09-02,1119,86,96.0,22.1
2026-09-03,1170,273,95.1,8.1
2026-09-04,1080,1211,96.1,1.9
2026-09-05,1215,1648,96.5,1.7
2026-09-06,1102,1855,96.9,1.9
2026-09-07,910,1892,95.6,1.1
2026-09-08,1335,2076,96.7,1.6
2026-09-09,1363,2337,95.0,0.6
2026-09-10,37,632,51.4,0.5
