date_utc,场景调用量,PASS,REJECT,REVIEW,非1_86调用,非1_86_PASS,plus1_调用
2026-08-09,1224,1112,96,16,154,42,1057
2026-08-10,1181,1076,76,29,145,43,1018
2026-08-11,1313,1243,39,31,115,45,1168
2026-08-12,1367,1255,87,25,173,61,1176
2026-08-13,1344,1215,103,26,188,60,1145
2026-08-14,1223,1176,29,18,101,56,1101
2026-08-15,1310,1246,44,20,134,71,1165
2026-08-16,1114,1067,29,18,121,76,977
2026-08-17,1110,1054,33,23,138,82,957
2026-08-18,1401,1302,79,20,155,57,1234
2026-08-19,1325,1232,76,17,159,68,1145
2026-08-20,1315,1106,187,22,196,77,1010
2026-08-21,1291,1207,73,11,167,86,1085
2026-08-22,1362,1257,91,14,192,91,1144
2026-08-23,1282,1184,88,10,189,91,1085
2026-08-24,1089,1030,52,7,126,70,948
2026-08-25,1228,1149,71,8,144,66,1052
2026-08-26,1216,1064,138,14,221,75,957
2026-08-27,1002,894,95,13,139,38,837
2026-08-28,1261,1183,70,8,170,92,1075
2026-08-29,1298,1237,51,10,121,69,1156
2026-08-30,1291,1216,70,5,170,97,1108
2026-08-31,1334,1170,162,2,249,85,1064
2026-09-01,1295,1156,134,5,239,101,1046
2026-09-02,1457,1362,80,15,216,122,1221
2026-09-03,1975,1675,286,14,649,352,1277
2026-09-04,3440,2664,767,9,2242,1466,1184
2026-09-05,6991,3428,3550,13,5679,2119,1297
2026-09-06,8079,3812,4259,8,6875,2608,1185
2026-09-07,7153,3688,3456,9,6043,2581,1092
2026-09-08,7736,4369,3358,9,6276,2911,1444
2026-09-09,7738,4356,3378,4,6233,2868,1488
2026-09-10,2019,910,1109,0,1958,857,54
