策略,状态,动作,规则,24h命中量,增量召回,占漏召回%,命中中正常用户,误伤%,攻击前窗命中,攻击前命中中+1,攻击前命中中正常用户,攻击前命中中OTP已填充
strategy_MGj5bfGOijOi,预上线,REJECT,"(区号不是1&&区号不是+1&&区号不是86&&区号不是+86)&&区号近1天内的访问次数 大于 100&&countryCode 包含 7,62,92,249,254,258,261,263,375,380,386,504,880,961,963,992,998 则 REJECT",3581,1599,56.4,1,0.0,1091,0,2,2
strategy_aEw2XWL4QIYx,预上线,REJECT,"cid 包含 106,105,108,200&&字段 reCAPTCHA V3风险分 存在&&reCAPTCHA V3风险分 小于 0.3 则 REJECT",3365,1349,47.6,11,0.3,1838,881,742,749
strategy_rDf6oPcZ8ydk,预上线,REJECT,"cid 包含 106,105,108&&(字段 reCAPTCHA V3风险分 存在)&&(reCAPTCHA V3风险分 小于 0.3)&&(区号不是1&&区号不是+1) 则 REJECT",3328,1331,47.0,1,0.0,371,0,4,8
strategy_aMgzQ6DeG4ea,预上线,REJECT,"cid 包含 106,105,108&&(字段 reCAPTCHA V3风险分 存在)&&(reCAPTCHA V3风险分 等于 0) 则 REJECT",2332,972,34.3,4,0.2,57,10,8,8
strategy_x37TInaHsvPQ,预上线,REJECT,"(区号不是1&&区号不是+1&&区号不是86&&区号不是+86)&&区号近1天内的访问次数 大于 100&&countryCode 不包含 7,62,92,249,254,258,261,263,375,380,386,504,880,961,963,992,998 则 REJECT",2257,936,33.0,0,0.0,189,0,0,0
strategy_XJefRbJPjhpx,预上线,REJECT,"cid 包含 106,105,108&&(字段 reCAPTCHA V3风险分 存在)&&(reCAPTCHA V3风险分 小于 0.3)&&(realIpCountry 不等于字符串 美国) 则 REJECT",2378,880,31.1,1,0.0,320,1,3,7
strategy_l44EWYqtinsu,预上线,REJECT,"cid 包含 106,105,108&&(字段 reCAPTCHA V3风险分 存在)&&(reCAPTCHA V3风险分 等于 0)&&(realIpCountry 不等于字符串 美国)&&(区号不是+1&&区号不是1) 则 REJECT",1660,647,22.8,0,0.0,0,0,0,0
strategy_ARqkLD7E3JaK,预上线,REJECT,(区号不是1&&区号不是+1&&区号不是86&&区号不是+86)&&(realIpCountry 不等于字符串 美国)&&reCAPTCHA V3风险分 小于等于 0.3 则 REJECT,1610,503,17.8,0,0.0,0,0,0,0
strategy_QgstgoGXTYmD,预上线,REJECT,(区号不是1&&区号不是+1)&&(IP近10分钟关联的手机号个数 大于 5) 则 REJECT,377,57,2.0,0,0.0,102,0,0,0
strategy_bTCEWBZggaAP,预上线,REJECT,(区号不是1&&区号不是+1)&&(同区号近60分钟未携带recaptchaV3token 访问次数 大于 5)&&version 版本号大于等于 1.4.30&&(字段 recaptchaV3Token 不存在||recaptchaV3Token 等于 '') 则 REJECT,181,45,1.6,0,0.0,9,0,0,0
strategy_D2vycSNfe0uK,预上线,REJECT,(区号不是1&&区号不是+1)&&(区号不是86&&区号不是+86)&&(区号近60分钟的访问次数 大于 50) 则 REJECT,316,0,0.0,0,0.0,0,0,0,0
strategy_ph2zbZrRTk3Z,预上线,REJECT,(区号不是1&&区号不是+1)&&(IPC段近10分钟关联的手机号个数 大于等于 100) 则 REJECT,0,0,0.0,0,0.0,0,0,0,0
strategy_NkRpGFInAJnE,预上线,REJECT,"cid 包含 106,105,108,200&&reCAPTCHA V3 token是否有效 等于 false 则 REJECT",6,0,0.0,1,16.7,18,15,11,12
strategy_nmoBvnI3X5Ch,预上线,REJECT,IP近1分钟的访问次数 大于 60 则 REJECT,32,0,0.0,0,0.0,0,0,0,0
